JD		     u		uErr	    g		gErr	   r		rErr	i		  iErr	    B		BErr		V		VErr	uvw2	  uvw2Err  uvm2		uvm2Err		uvw1	uvw1Err	   	J		  JErr		H		  HErr		K		  KErr
6002.55    INDEF     INDEF    16.853    0.005    15.502    0.004    15.252    0.006    17.422    0.009    16.045    0.006   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6003.55    INDEF     INDEF    16.877    0.005    15.530    0.004    15.275    0.004    17.451    0.009    16.085    0.004   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6004.55    INDEF     INDEF    16.912    0.006    15.563    0.004    15.316    0.004    17.474    0.009    16.103    0.004   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6005.55    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    15.341    0.004    17.478    0.009    16.121    0.005   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6006.54    INDEF     INDEF    16.954    0.008    15.623    0.006    15.385    0.008    17.520    0.009    16.157    0.006   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		15.510    0.090     14.730    0.060     14.600    0.150
6007.52    INDEF     INDEF    16.975    0.009    15.676    0.009    15.404    0.009    17.522    0.009    16.188    0.009   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6009.52    INDEF     INDEF    16.978    0.006    15.702    0.006    15.452    0.006    17.545    0.007    16.213    0.006   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6010.51    INDEF     INDEF    17.000    0.007    15.741    0.006    15.498    0.008    17.551    0.008    16.235    0.007   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6011.52    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    17.596    0.010    16.253    0.007   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6012.53    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    17.581    0.009    16.273    0.005   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6014.51    INDEF     INDEF    17.056    0.007    15.850    0.005    15.606    0.005    INDEF     INDEF    INDEF     INDEF   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6015.53    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    16.335    0.008   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6017.52    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    17.625    0.015    16.358    0.007   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6018.49    INDEF     INDEF    17.097    0.010    15.942    0.004    15.714    0.004    INDEF     INDEF    INDEF     INDEF   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6021.70    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF	INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF	    15.960    0.120     15.380    0.080     16.580    0.720
6019.49    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    17.644    0.014    16.386    0.008   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
6027.70    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF	INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF	    16.300    0.150     15.250    0.080     16.420    0.520
6233.82    INDEF     INDEF    INDEF     INDEF    INDEF     INDEF    20.381    0.119    21.411    0.318    20.876    0.206   INDEF	  INDEF    INDEF     INDEF    INDEF     INDEF		INDEF	  INDEF     INDEF     INDEF     INDEF     INDEF
