FILTER Phase FILTER FMAG FERR
55 -4.5 V 14.549 0.013
57 -4.5 V 14.591 0.012
58 -4.5 V 14.450 0.004
62 -4.0 V 14.505 0.010
64 -3.2 V 14.520 0.032
66 -3.0 V 14.483 0.010
69 -2.8 V 14.443 0.013
71 -2.5 V 14.476 0.022
73 -2.5 V 14.438 0.010
75 -2.0 V 14.435 0.010
77 -1.8 V 14.406 0.045
82 -1.6 V 14.391 0.014
84 -1.5 V 14.281 0.010
86 -1.3 V 14.430 0.023
88 -0.9 V 14.393 0.012
91 -0.5 V 14.338 0.014
93 -0.5 V 14.388 0.018
95 -0.4 V 14.255 0.010
97 -0.2 V 14.385 0.012
99 0.0 V 14.376 0.009
101 0.6 V 14.258 0.010
104 2.3 V 14.383 0.014
106 1.5 V 14.275 0.009
108 2.5 V 14.290 0.009
110 2.6 V 14.413 0.010
113 3.2 V 14.398 0.013
114 3.2 V 14.400 0.104
119 3.5 V 14.411 0.013
121 3.5 V 14.279 0.009
123 4.0 V 14.439 0.013
125 4.6 V 14.476 0.013
127 5.2 V 14.424 0.025
132 5.4 V 14.455 0.013
134 5.9 V 14.507 0.011
136 6.5 V 14.540 0.014
138 6.5 V 14.382 0.009
141 7.5 V 14.550 0.014
143 7.5 V 14.432 0.008
145 8.1 V 14.597 0.015
148 8.5 V 14.599 0.014
150 8.5 V 14.465 0.009
152 9.0 V 14.635 0.016
154 9.5 V 14.689 0.012
156 9.5 V 14.507 0.009
158 9.7 V 14.660 0.026
160 10.0 V 14.648 0.010
163 10.5 V 14.726 0.015
165 10.6 V 14.745 0.019
167 10.9 V 14.758 0.012
168 11.2 V 14.649 0.126
172 11.5 V 14.618 0.010
175 11.7 V 14.769 0.017
176 12.1 V 14.809 0.076
180 12.4 V 14.841 0.026
182 12.5 V 14.856 0.013
184 12.5 V 14.711 0.011
186 12.9 V 14.860 0.011
188 13.5 V 14.872 0.026
190 13.5 V 14.790 0.013
192 14.0 V 14.963 0.022
194 15.9 V 15.058 0.016
196 16.0 V 14.977 0.015
199 16.4 V 15.035 0.021
201 16.5 V 15.062 0.034
204 17.5 V 15.113 0.031
206 19.0 V 15.161 0.013
208 19.1 V 15.127 0.068
212 19.5 V 15.137 0.043
214 19.5 V 15.216 0.023
216 19.8 V 15.196 0.011
217 20.5 V 15.156 0.008
221 20.7 V 15.180 0.039
223 21.5 V 15.233 0.041
225 21.5 V 15.287 0.033
226 21.5 V 15.200 0.006
230 22.1 V 15.236 0.041
234 22.4 V 15.228 0.010
236 22.8 V 15.350 0.011
239 23.2 V 15.361 0.015
241 23.2 V 15.303 0.035
245 23.4 V 15.304 0.010
247 23.5 V 15.375 0.035
248 23.5 V 15.297 0.008
252 23.9 V 15.379 0.011
254 24.5 V 15.372 0.045
255 24.5 V 15.338 0.016
259 25.0 V 15.444 0.011
261 26.1 V 15.473 0.016
265 26.4 V 15.504 0.055
267 26.5 V 15.486 0.010
270 27.0 V 15.549 0.016
271 27.1 V 15.482 0.103
275 27.4 V 15.477 0.011
278 27.5 V 15.549 0.015
279 27.6 V 15.481 0.009
283 28.2 V 15.529 0.023
287 28.4 V 15.561 0.011
289 29.0 V 15.666 0.026
291 29.1 V 15.572 0.035
295 29.4 V 15.600 0.011
297 29.9 V 15.673 0.015
300 30.4 V 15.718 0.015
302 30.4 V 15.672 0.012
303 30.6 V 15.601 0.013
305 31.4 V 15.768 0.012
307 32.4 V 15.847 0.012
309 32.8 V 15.876 0.015
311 33.4 V 15.878 0.015
314 33.8 V 15.941 0.014
316 34.4 V 15.868 0.013
318 34.4 V 15.866 0.010
320 35.3 V 15.968 0.012
321 35.6 V 15.884 0.011
325 35.9 V 16.047 0.021
327 36.8 V 16.068 0.013
330 37.9 V 16.137 0.018
333 38.4 V 16.152 0.021
335 38.4 V 16.117 0.013
338 39.4 V 16.205 0.015
340 40.4 V 16.239 0.015
343 43.4 V 16.272 0.051
344 43.6 V 16.276 0.021
347 45.6 V 16.298 0.054
350 47.0 V 16.459 0.019
352 48.0 V 16.507 0.028
354 49.0 V 16.584 0.028
356 49.4 V 16.482 0.028
357 50.6 V 16.445 0.016
361 52.4 V 16.593 0.013
363 57.3 V 16.761 0.011
365 58.0 V 16.831 0.101
367 58.3 V 16.759 0.012
369 59.4 V 16.768 0.011
371 60.4 V 16.731 0.011
374 61.3 V 16.826 0.013
377 62.3 V 16.857 0.024
380 63.3 V 16.933 0.016
382 65.8 V 16.908 0.039
386 70.3 V 17.030 0.019
388 70.9 V 17.054 0.041
389 71.8 V 17.122 0.039
391 73.8 V 17.115 0.127
392 79.3 V 17.279 0.011
394 79.8 V 17.282 0.039
397 81.3 V 17.326 0.016
399 83.8 V 17.384 0.042
401 84.3 V 17.332 0.014
404 86.3 V 17.398 0.016
407 88.3 V 17.545 0.017
410 92.3 V 17.587 0.016
412 93.9 V 17.550 0.056
418 99.8 V 17.739 0.080
421 110.3 V 17.921 0.010
424 113.3 V 18.011 0.015
