FILTER Phase FILTER FMAG FERR
344 20.79 R 14.260 0.032
348 21.0 R 14.280 0.032
353 22.11 R 14.288 0.031
358 24.02 R 14.261 0.032
363 24.07 R 14.302 0.032
367 25.82 R 14.381 0.032
371 25.93 R 14.383 0.032
375 25.95 R 14.401 0.032
380 26.04 R 14.345 0.032
384 26.07 R 14.357 0.032
388 26.1 R 14.391 0.032
393 28.07 R 14.417 0.032
397 28.76 R 14.470 0.032
401 28.97 R 14.497 0.032
406 29.06 R 14.496 0.032
409 29.37 R 14.482 0.032
413 29.76 R 14.497 0.032
417 30.04 R 14.513 0.032
422 30.07 R 14.515 0.032
426 31.73 R 14.632 0.032
431 32.05 R 14.609 0.032
435 35.74 R 14.914 0.032
439 35.88 R 14.902 0.032
444 37.04 R 14.986 0.035
448 37.14 R 14.979 0.032
453 39.04 R 15.052 0.032
457 39.94 R 15.166 0.032
462 41.04 R 15.195 0.032
466 41.1 R 15.161 0.032
473 42.95 R 15.287 0.032
478 43.07 R 15.292 0.032
483 45.03 R 15.348 0.032
487 45.89 R 15.396 0.032
492 47.03 R 15.415 0.032
496 47.34 R 15.451 0.032
501 49.03 R 15.466 0.032
506 51.03 R 15.550 0.032
511 53.03 R 15.591 0.032
516 55.03 R 15.735 0.032
520 55.05 R 15.684 0.032
525 57.03 R 15.746 0.032
530 59.03 R 15.819 0.032
534 63.02 R 15.910 0.032
537 66.02 R 16.047 0.032
540 67.35 R 16.094 0.025
544 69.01 R 16.150 0.032
548 70.35 R 16.201 0.027
554 72.01 R 16.219 0.032
558 75.01 R 16.308 0.032
562 78.01 R 16.385 0.032
566 81.0 R 16.489 0.032
570 84.0 R 16.625 0.032
574 84.99 R 16.572 0.032
578 88.0 R 16.739 0.034
582 90.99 R 16.756 0.032
0 -11.91 U 15.862 0.038
5 -11.89 U 15.850 0.038
10 -10.92 U 15.360 0.035
15 -10.79 U 15.254 0.035
24 -9.89 U 14.851 0.035
29 -9.79 U 14.768 0.035
50 -8.81 U 14.380 0.035
59 -7.97 U 14.154 0.035
76 -6.91 U 13.883 0.035
87 -5.97 U 13.734 0.035
92 -5.81 U 13.655 0.035
105 -4.82 U 13.564 0.035
114 -3.95 U 13.527 0.035
127 -2.98 U 13.433 0.035
132 -1.99 U 13.395 0.035
141 -1.83 U 13.422 0.035
150 -0.79 U 13.403 0.035
167 0.18 U 13.393 0.035
172 1.07 U 13.444 0.035
177 1.18 U 13.412 0.035
190 2.08 U 13.489 0.035
195 2.17 U 13.487 0.035
203 3.04 U 13.564 0.035
208 3.17 U 13.563 0.035
228 9.06 U 14.117 0.054
240 10.02 U 14.216 0.035
245 10.16 U 14.219 0.035
254 11.14 U 14.299 0.035
259 12.16 U 14.429 0.035
264 13.09 U 14.539 0.035
273 14.16 U 14.682 0.035
278 15.0 U 14.841 0.037
283 15.13 U 14.828 0.036
288 16.05 U 14.99 0.035
297 16.13 U 14.983 0.035
302 17.0 U 15.141 0.035
311 17.13 U 15.082 0.035
320 18.07 U 15.251 0.035
333 20.07 U 15.513 0.039
350 22.11 U 15.761 0.038
355 24.02 U 15.977 0.035
360 24.07 U 16.008 0.034
377 26.04 U 16.149 0.044
390 28.07 U 16.280 0.035
403 29.06 U 16.373 0.035
419 30.07 U 16.433 0.045
428 32.05 U 16.544 0.071
441 37.04 U 16.926 0.141
450 39.04 U 16.818 0.138
459 41.04 U 16.845 0.059
475 43.07 U 16.945 0.088
480 45.03 U 16.873 0.086
489 47.03 U 17.141 0.123
498 49.03 U 17.011 0.095
503 51.03 U 17.014 0.088
508 53.03 U 17.056 0.084
513 55.03 U 17.248 0.132
522 57.03 U 17.323 0.094
527 59.03 U 17.291 0.142
2 -11.91 V 15.345999999999998 0.022000000000000002
7 -11.89 V 15.293 0.024
12 -10.92 V 15.0 0.022000000000000002
17 -10.79 V 14.955 0.022000000000000002
21 -10.51 V 14.954 0.032
26 -9.89 V 14.720999999999998 0.022000000000000002
31 -9.79 V 14.67 0.022000000000000002
35 -9.53 V 14.654000000000002 0.022000000000000002
39 -9.03 V 14.497 0.022000000000000002
43 -8.98 V 14.502 0.022000000000000002
47 -8.87 V 14.489 0.022000000000000002
52 -8.81 V 14.437999999999999 0.022000000000000002
56 -8.24 V 14.344000000000001 0.022000000000000002
61 -7.97 V 14.293 0.022000000000000002
65 -7.9 V 14.299000000000001 0.022000000000000002
69 -7.79 V 14.247 0.022000000000000002
73 -6.98 V 14.122 0.022000000000000002
78 -6.91 V 14.118 0.022000000000000002
80 -6.22 V 14.003 0.022000000000000002
84 -6.02 V 13.992 0.022000000000000002
89 -5.97 V 13.981 0.022000000000000002
94 -5.81 V 13.942 0.022000000000000002
98 -5.23 V 13.895999999999999 0.022000000000000002
102 -4.91 V 13.852 0.022000000000000002
107 -4.82 V 13.843 0.022000000000000002
111 -4.23 V 13.795 0.022000000000000002
116 -3.95 V 13.783 0.022000000000000002
120 -3.24 V 13.735999999999999 0.022000000000000002
124 -3.07 V 13.712 0.022000000000000002
129 -2.98 V 13.713 0.022000000000000002
134 -1.99 V 13.655 0.022000000000000002
138 -1.87 V 13.63 0.022000000000000002
143 -1.83 V 13.639000000000001 0.025
147 -1.24 V 13.638 0.022000000000000002
152 -0.79 V 13.6 0.022000000000000002
156 -0.24 V 13.595 0.022000000000000002
160 0.0 V 13.592 0.022000000000000002
164 0.06 V 13.57 0.022000000000000002
169 0.18 V 13.568 0.022000000000000002
174 1.07 V 13.574000000000002 0.022000000000000002
179 1.18 V 13.549000000000001 0.022000000000000002
183 1.77 V 13.581 0.022000000000000002
187 2.06 V 13.564 0.022000000000000002
192 2.08 V 13.574000000000002 0.022000000000000002
